1, 754, 969, .4
1, 1280, 1470, .5
1, 2800, 3060, .8
1, 4482, 4651, .5
1, 5468, 5648, .3
1, 5753, 6073, .5
1, 7852, 8000, .4
1, 8499, 8749, .8
1, 16688, 16886, .5
1, 18235, 18374, .5
1, 18824, 19112, 1
1, 19530, 19754, .8
1, 19893, 20381, 1.1
1, 20999, 21367, .4
1, 22058, 22467, .8
1, 30714, 30716, .2
1, 36572, 37189, .6
1, 37735, 38097, .4
1, 39248, 39440, .5
1, 46572, 47186, .6
1, 49597, 49892, .5
1, 58870, 59478, 1
1, 60611, 61077, .8
1, 61228, 61722, 1
1, 63353, 63612, .7
1, 63710, 64280, .8
1, 74897, 75246, .4
1, 76487, 76806, .5
1, 80949, 81221, .4
1, 82432, 82647, .3
1, 83025, 83515, .7
1, 92230, 92596, .5
1, 92814, 93123, .5
1, 94005, 94515, 1
1, 94687, 95258, .5
1, 97918, 98267, .5
1, 100304, 100751, .5
1, 104181, 104526, .5
1, 106533, 106809, .5
1, 106979, 107402, 1
1, 108089, 108529, .5
1, 109093, 109415, .5
1, 109576, 109949, 1.
1, 110512, 110821, .5
1, 110844, 111176, 1
1, 112640, 113053, 1
1, 115711, 115959, -.2
2, 11709, 12061, 1
2, 15165, 15325, .6
2, 15383, 15676, 1
2, 26139, 26493, 1
2, 32734, 33380, 1.1
2, 41043, 41667, 1
2, 51504, 52344, .8
2, 54691, 55333, 1
2, 66527, 66935, .7
2, 78675, 79471, 1.1
2, 89933, 90550, .6
2, 91302, 91709, .5
2, 102912, 103820, 1
2, 111474, 112017, .5
3, 1938, 2419, 1
3, 3487, 4271, 1
3, 6240, 6728, 1
3, 16965, 17360, 1
3, 29822, 31464, 1
3, 38464, 39223, 1
3, 44293, 44528, 1
3, 59710, 60432, 1
3, 61925, 62661, 1
3, 70379, 70811, 1
3, 71354, 71922, 1
3, 98571, 99793, 1
3, 106239, 106560, 1
3, 115670, 116016, 1
4, 13891, 15002, 1
4, 68817, 69187, 1
